iter, loss
1,0.8587123336621694
2,0.8087277766551291
3,0.7924842052261034
4,0.782181016723315
5,0.7775028286916869
6,0.7673608152327084
7,0.7637907018264135
8,0.7590125077451978
9,0.7588369594329879
10,0.7506880141496658
11,0.7447092541768437
12,0.7453606659798395
13,0.7438114400392487
14,0.7405693615305992
15,0.7370982534260977
16,0.7351572267242841
17,0.7337121031823612
18,0.7330754498413631
19,0.7283636725743612
20,0.7268075278117543
21,0.7325206442730767
22,0.7249017230556125
23,0.7282027981054215
24,0.7219439960774922
25,0.7213914935645603
26,0.7222769124053774
27,0.7200384612651098
28,0.71520568723338
29,0.7164114789423488
30,0.7154975533598945
