iter, loss
1,0.8613946583611625
2,0.8173822124061131
3,0.8011448170940081
4,0.7894359385626657
5,0.7815899405933562
6,0.7716445230699721
7,0.7691475066258794
8,0.7607671163962001
9,0.7561118110162871
10,0.7540438865593502
11,0.7509094079250381
12,0.7474444251543
13,0.7441895603963307
14,0.7380620147273654
15,0.7365011500517528
16,0.7329288929048039
17,0.7299312566291718
18,0.7246639827546619
19,0.7215277516643206
20,0.7154440957847096
21,0.7154639103270712
22,0.7132559837954385
23,0.7112331150628272
24,0.7052842964274543
25,0.7012529156037739
26,0.7012657387909436
27,0.6998996494440806
28,0.6977611660162608
29,0.6921947299923216
30,0.6934786324217206
