iter, loss
1,0.8545829736278171
2,0.8087915830527033
3,0.7904217210099811
4,0.7788144046550706
5,0.7706806279080255
6,0.7646590180169969
7,0.7593593600165276
8,0.7513274197464898
9,0.7530847838889985
10,0.7503609726939883
11,0.7438315002918243
12,0.7408452480861119
13,0.739532720835436
14,0.7341192449246134
15,0.7325523256829807
16,0.7301095907148861
17,0.7274953394645737
18,0.725755334019661
19,0.7247897947941507
20,0.724789287283307
21,0.7240147269850685
22,0.7207230792670023
23,0.7204970303206216
24,0.7180561301537922
25,0.7184446984643028
26,0.7175398230864888
27,0.7169881890302613
28,0.7158603326791809
29,0.7133940278462001
30,0.7098706262509028
